"Lifetime.Approval.Rate","Gender","Age","Allexh.A4a4a4a4","Allexh.S2s3s2s3","Comments","Controlnumber","Controlqud","Eachsome.A4a4a4a4","Eachsome.N0n0s2s3","Eachsome.S2s2a4a4","Eachsome.S2s3s2s3","Eductation","Filler.A4s2a4s2","Filler.N0s3s2n0","Lang","Simpleexh.S2s2a4a4","Soemallexh.S2a4s2n0","Someexh.N0n0s2s3","Someexh.S3s3s2s2","Someobject.N0a4n0n0","Somesome.A4a4a4a4","Somesome.N0n0n0n0","Somesome.N0s3s2n0","Somesome.S3s3s2s2","Somesubject.A4a4a4a4","QuD","workerid"
"0% (0/0)","Female",39,1,0,"{}","4","When they find a marble for their cousin to pla...",0,0,0,1,"Some college, no degree",0,1,"English",0,0,1,1,0,0,0,1,0,0,"anyany","20"
"0% (0/0)","Male",4,1,0,"{}","4","when they show their aunt a special edition set",0,0,1,1,"Bachelors degree",0,1,"English",0,0,1,1,0,0,0,0,1,1,"anyany","18"
"0% (0/0)","Female",8,1,0,"Thank you","4","When they find their marble sets",0,0,1,1,"Bachelors degree",1,1,"English",0,1,1,1,0,0,0,1,0,0,"anyany","3"
"0% (0/0)","Male",40,1,0,"{}","4","when the find the special edition marbles",1,0,1,1,"High School Graduate",0,1,"english",0,1,1,1,1,1,0,1,1,1,"anyany","4"
"0% (0/0)","Male",30,1,0,"{}","4","when the marbles are found and they are able to...",0,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"english",0,1,1,1,0,0,0,1,0,0,"anyany","24"
"0% (0/0)","Female",40,1,0,"{}","4","when they find the marbles",1,0,1,1,"Some college, no degree",0,1,"English",0,1,1,1,1,1,0,1,1,1,"anyany","23"
"0% (0/0)","Female",40,1,0,"{}","4","When they find their marbles",0,0,0,1,"High School Graduate",0,1,"English",0,0,1,1,0,0,0,1,0,0,"anyany","21"
"0% (0/0)","Female",31,0,0,"{}","4","When they find there missing marbles",0,0,0,0,"High School Graduate",0,0,"English",0,0,0,0,0,0,1,0,0,0,"anyany","5"
"0% (0/0)","Male",8,1,0,"{}","4","when they find the special edition set of marbles",1,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"English",0,1,1,1,1,1,0,1,1,1,"anyany","43"
"0% (0/0)","Male",44,1,0,"{}","4","When they can show their aunt a special edition...",1,0,1,1,"Bachelors degree",0,1,"English",0,1,1,1,1,1,0,0,1,1,"anyany","26"
"0% (0/0)","Male",54,1,0,"thank you","1 set of 4","When they find the marbles.",1,0,1,1,"Bachelors degree",0,1,"english",0,1,1,1,1,1,0,1,1,1,"anyany","42"
"0% (0/0)","Female",37,1,0,"N/A","4","When the marbles are found.",0,0,1,1,"Bachelors degree",0,1,"English",0,0,0,1,1,0,0,1,1,0,"anyany","38"
"0% (0/0)","Female",60,1,0,"{}","1","when they find a special edition set",1,0,1,1,"Bachelors degree",0,1,"English",0,1,1,1,1,1,0,1,1,1,"anyany","35"
"0% (0/0)","Female",30,1,0,"{}","4","When they find the marbles",0,0,0,1,"High School Graduate",0,1,"English",0,0,1,1,0,0,0,1,0,0,"anyany","28"
"0% (0/0)","Female",48,0,0,"{}","4","when they find the marbles",1,1,1,1,"Some college, no degree",0,0,"english",0,0,0,0,0,1,1,1,1,0,"eachany","30"
"100% (1/1)","Female",64,1,0,"{}","4","when they find the marbles",0,0,1,1,"Bachelors degree",0,1,"English",0,0,1,1,0,0,0,1,1,0,"eachany","10"
"0% (0/0)","Female",45,1,0,"It’s a fun survey.","4","When they found the special edition marbles to ...",1,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"English",0,1,1,1,1,1,0,0,1,1,"eachany","34"
